"viejo","nuevo","antesKB","despuesKB","dim"
"ALGARROBO RANCHERO 3.png","ALGARROBO RANCHERO 3.jpg","1746","95","1525 x 1906 => 960 x 1200"
"Algarrobo ranchero.png","Algarrobo ranchero.jpg","2504","67","1525 x 1906 => 960 x 1200"
"algarrobo-brown.png","algarrobo-brown.jpg","1525","55","1525 x 1906 => 960 x 1200"
"algarrobo-ranchero-espalda.png","algarrobo-ranchero-espalda.jpg","1796","56","1525 x 1906 => 960 x 1200"
"algarrobo-ranchero-frente.png","algarrobo-ranchero-frente.jpg","2488","67","1525 x 1906 => 960 x 1200"
"bombilla-apliques.png","bombilla-apliques.jpg","927","34","1525 x 1906 => 960 x 1200"
"bombillon-diseno.png","bombillon-diseno.jpg","891","33","1525 x 1906 => 960 x 1200"
"bombillon-dorado.png","bombillon-dorado.jpg","992","36","1525 x 1906 => 960 x 1200"
"bombillon-liso.png","bombillon-liso.jpg","1118","35","1525 x 1906 => 960 x 1200"
"bombillon-pico-loro-dorado.png","bombillon-pico-loro-dorado.jpg","1256","39","1525 x 1906 => 960 x 1200"
"bombillón recto premium dorado acostado.png","bombillón recto premium dorado acostado.jpg","1631","44","1525 x 1906 => 960 x 1200"
"bombillón recto premium dorado frente.png","bombillón recto premium dorado frente.jpg","1005","40","1525 x 1906 => 960 x 1200"
"bombillón recto premium dorado inclinado.png","bombillón recto premium dorado inclinado.jpg","1400","46","1525 x 1906 => 960 x 1200"
"camionero-new.png","camionero-new.jpg","889","54","1525 x 1906 => 960 x 1200"
"camionero-pulido.png","camionero-pulido.jpg","2805","49","1525 x 1906 => 960 x 1200"
"camionero-virola-marron.png","camionero-virola-marron.jpg","1729","62","1525 x 1906 => 960 x 1200"
"camionero-virola-negro.png","camionero-virola-negro.jpg","1568","53","1525 x 1906 => 960 x 1200"
"camionero-virola.png","camionero-virola.jpg","1237","72","1525 x 1906 => 960 x 1200"
"combo-camionero-posamate-v2.png","combo-camionero-posamate-v2.jpg","1071","69","1525 x 1906 => 960 x 1200"
"combo-camionero-pulido-posamate.png","combo-camionero-pulido-posamate.jpg","1661","70","1525 x 1906 => 960 x 1200"
"combo-camionero-virola-posamate-v2.png","combo-camionero-virola-posamate-v2.jpg","1324","63","1525 x 1906 => 960 x 1200"
"combo-galleta-new.png","combo-galleta-new.jpg","1576","77","1525 x 1906 => 960 x 1200"
"combo-porongo-posamate-v2.png","combo-porongo-posamate-v2.jpg","2704","78","1525 x 1906 => 960 x 1200"
